venue,replicate,backend,run_dir,walltime_h,benchmark_rpc_count,benchmark_rpc_processing_s,benchmark_rpc_count_per_1000_endpoint_tasks,benchmark_rpc_processing_s_per_1000_endpoint_tasks,observer_rpc_count,observer_rpc_processing_s,median_walltime_h,min_walltime_h,max_walltime_h,median_rpc_processing_s_per_1000_endpoint_tasks,min_rpc_processing_s_per_1000_endpoint_tasks,max_rpc_processing_s_per_1000_endpoint_tasks,nondominated_median
dev,1,native,dryrun-plots/synthetic-monitor-tree/dev/rep1/native,3.206873055564033,1216,973.077028,30400.0,24326.9257,40,0.016,3.250960939758354,3.206873055564033,3.295048823952675,23408.18305,22489.4404,24326.9257,False
dev,1,jobarray,dryrun-plots/synthetic-monitor-tree/dev/rep1/jobarray,2.4465349601374733,326,260.817346,8150.0,6520.43365,31,0.0124,2.5121810825334654,2.4465349601374733,2.577827204929458,6524.2532,6520.43365,6528.07275,False
dev,1,hyperqueue,dryrun-plots/synthetic-monitor-tree/dev/rep1/hyperqueue,2.0826285509930718,74,59.409837,1850.0,1485.245925,26,0.0104,2.1607205681337254,2.0826285509930718,2.2388125852743785,1477.49455,1469.743175,1485.245925,True
dev,1,flux,dryrun-plots/synthetic-monitor-tree/dev/rep1/flux,2.319047812355889,93,74.954174,2325.0,1873.85435,29,0.0116,2.2686112556854883,2.2181746990150875,2.319047812355889,1879.21505,1873.85435,1884.57575,False
dev,1,local,dryrun-plots/synthetic-monitor-tree/dev/rep1/local,4.9541683905654486,25,20.310104,625.0,507.7526,61,0.0244,4.813732484976451,4.673296579387453,4.9541683905654486,494.646425,481.54025,507.7526,True
dev,2,jobarray,dryrun-plots/synthetic-monitor-tree/dev/rep2/jobarray,2.577827204929458,326,261.12291,8150.0,6528.07275,32,0.0128,2.5121810825334654,2.4465349601374733,2.577827204929458,6524.2532,6520.43365,6528.07275,False
dev,2,hyperqueue,dryrun-plots/synthetic-monitor-tree/dev/rep2/hyperqueue,2.2388125852743785,73,58.789727,1825.0,1469.743175,28,0.0112,2.1607205681337254,2.0826285509930718,2.2388125852743785,1477.49455,1469.743175,1485.245925,True
dev,2,flux,dryrun-plots/synthetic-monitor-tree/dev/rep2/flux,2.2181746990150875,94,75.38303,2350.0,1884.57575,28,0.0112,2.2686112556854883,2.2181746990150875,2.319047812355889,1879.21505,1873.85435,1884.57575,False
dev,2,local,dryrun-plots/synthetic-monitor-tree/dev/rep2/local,4.673296579387453,24,19.26161,600.0,481.54025,58,0.0232,4.813732484976451,4.673296579387453,4.9541683905654486,494.646425,481.54025,507.7526,True
dev,2,native,dryrun-plots/synthetic-monitor-tree/dev/rep2/native,3.295048823952675,1124,899.577616,28100.0,22489.4404,41,0.0164,3.250960939758354,3.206873055564033,3.295048823952675,23408.18305,22489.4404,24326.9257,False
phoenix,1,native,dryrun-plots/synthetic-monitor-tree/phoenix/rep1/native,3.17115000002914,1191,952.991993,29775.0,23824.799825000002,40,0.016,3.1691613673501546,3.1671727346711687,3.17115000002914,22039.3392375,20253.87865,23824.799825000002,False
phoenix,1,jobarray,dryrun-plots/synthetic-monitor-tree/phoenix/rep1/jobarray,2.760582210752699,305,244.733337,7625.0,6118.333425,35,0.014,2.6256496633092565,2.4907171158658135,2.760582210752699,5886.3733625,5654.4133,6118.333425,False
phoenix,1,hyperqueue,dryrun-plots/synthetic-monitor-tree/phoenix/rep1/hyperqueue,2.0314508176512187,75,60.784398,1875.0,1519.60995,26,0.0104,2.170945391654968,2.0314508176512187,2.3104399656587176,1440.4284875,1361.2470250000001,1519.60995,True
phoenix,1,flux,dryrun-plots/synthetic-monitor-tree/phoenix/rep1/flux,2.291817045542929,91,73.598845,2275.0,1839.971125,29,0.0116,2.292975618375672,2.291817045542929,2.2941341912084154,1871.3531,1839.971125,1902.735075,False
phoenix,1,local,dryrun-plots/synthetic-monitor-tree/phoenix/rep1/local,5.161557714939118,24,19.629555,600.0,490.738875,63,0.0252,5.043094223108557,4.924630731277996,5.161557714939118,483.3664375,475.994,490.738875,True
phoenix,2,jobarray,dryrun-plots/synthetic-monitor-tree/phoenix/rep2/jobarray,2.4907171158658135,282,226.176532,7050.0,5654.4133,31,0.0124,2.6256496633092565,2.4907171158658135,2.760582210752699,5886.3733625,5654.4133,6118.333425,False
phoenix,2,hyperqueue,dryrun-plots/synthetic-monitor-tree/phoenix/rep2/hyperqueue,2.3104399656587176,68,54.449881,1700.0,1361.2470250000001,29,0.0116,2.170945391654968,2.0314508176512187,2.3104399656587176,1440.4284875,1361.2470250000001,1519.60995,True
phoenix,2,flux,dryrun-plots/synthetic-monitor-tree/phoenix/rep2/flux,2.2941341912084154,95,76.109403,2375.0,1902.735075,29,0.0116,2.292975618375672,2.291817045542929,2.2941341912084154,1871.3531,1839.971125,1902.735075,False
phoenix,2,local,dryrun-plots/synthetic-monitor-tree/phoenix/rep2/local,4.924630731277996,23,19.03976,575.0,475.994,61,0.0244,5.043094223108557,4.924630731277996,5.161557714939118,483.3664375,475.994,490.738875,True
phoenix,2,native,dryrun-plots/synthetic-monitor-tree/phoenix/rep2/native,3.1671727346711687,1012,810.155146,25300.0,20253.87865,40,0.016,3.1691613673501546,3.1671727346711687,3.17115000002914,22039.3392375,20253.87865,23824.799825000002,False
