venue,replicate,backend,run_dir,primary_valid,global_context_valid,status,censored,pipeline_exit_code,validation_exit_code,t0_epoch,endpoint_latest_complete_epoch,monitor_end_epoch,walltime_h,benchmark_rpc_count,benchmark_rpc_processing_s,observer_rpc_count,observer_rpc_processing_s,error,global_context_error
dev,1,native,dryrun-plots/synthetic-monitor-tree/dev/rep1/native,True,True,complete,False,0,0,1754300005.0,1754311549.743,1754311632.7431436,3.206873055564033,1216,973.077028,40,0.016,,
dev,1,jobarray,dryrun-plots/synthetic-monitor-tree/dev/rep1/jobarray,True,True,complete,False,0,0,1754312237.7431436,1754321045.269,1754321128.2692165,2.4465349601374733,326,260.817346,31,0.0124,,
dev,1,hyperqueue,dryrun-plots/synthetic-monitor-tree/dev/rep1/hyperqueue,True,True,complete,False,0,0,1754321733.2692165,1754329230.732,1754329313.7328756,2.0826285509930718,74,59.409837,26,0.0104,,
dev,1,flux,dryrun-plots/synthetic-monitor-tree/dev/rep1/flux,True,True,complete,False,0,0,1754329918.7328756,1754338267.305,1754338350.305794,2.319047812355889,93,74.954174,29,0.0116,,
dev,1,local,dryrun-plots/synthetic-monitor-tree/dev/rep1/local,True,True,complete,False,0,0,1754338955.305794,1754356790.312,1754356873.3120623,4.9541683905654486,25,20.310104,61,0.0244,,
dev,2,native,dryrun-plots/synthetic-monitor-tree/dev/rep2/native,True,True,complete,False,0,0,1754402379.5132337,1754414241.689,1754414324.6891372,3.295048823952675,1124,899.577616,41,0.0164,,
dev,2,jobarray,dryrun-plots/synthetic-monitor-tree/dev/rep2/jobarray,True,True,complete,False,0,0,1754357478.3120623,1754366758.49,1754366841.490693,2.577827204929458,326,261.12291,32,0.0128,,
dev,2,hyperqueue,dryrun-plots/synthetic-monitor-tree/dev/rep2/hyperqueue,True,True,complete,False,0,0,1754367446.490693,1754375506.216,1754375589.2160835,2.2388125852743785,73,58.789727,28,0.0112,,
dev,2,flux,dryrun-plots/synthetic-monitor-tree/dev/rep2/flux,True,True,complete,False,0,0,1754376194.2160835,1754384179.645,1754384262.6453142,2.2181746990150875,94,75.38303,28,0.0112,,
dev,2,local,dryrun-plots/synthetic-monitor-tree/dev/rep2/local,True,True,complete,False,0,0,1754384867.6453142,1754401691.513,1754401774.5132337,4.673296579387453,24,19.26161,58,0.0232,,
dev,3,native,dryrun-plots/synthetic-monitor-tree/dev/rep3/native,True,True,complete,False,0,0,1754452114.0733886,1754463802.137,1754463885.1373312,3.246684336529838,1181,945.138279,40,0.016,,
dev,3,jobarray,dryrun-plots/synthetic-monitor-tree/dev/rep3/jobarray,True,True,complete,False,0,0,1754464490.1373312,1754473664.302,1754473747.3026452,2.548379074666235,300,240.208751,32,0.0128,,
dev,3,hyperqueue,dryrun-plots/synthetic-monitor-tree/dev/rep3/hyperqueue,True,True,complete,False,0,0,1754414929.6891372,1754423461.918,1754423544.9182348,2.3700635729895696,77,62.057443,30,0.012,,
dev,3,flux,dryrun-plots/synthetic-monitor-tree/dev/rep3/flux,True,True,complete,False,0,0,1754424149.9182348,1754433283.878,1754433366.8780794,2.537211045887735,92,74.342808,32,0.0128,,
dev,3,local,dryrun-plots/synthetic-monitor-tree/dev/rep3/local,True,True,complete,False,0,0,1754433971.8780794,1754451426.073,1754451509.0733886,4.848387477927738,26,21.413801,60,0.024,,
phoenix,1,native,dryrun-plots/synthetic-monitor-tree/phoenix/rep1/native,True,True,complete,False,0,0,1754300005.0,1754311421.14,1754311504.1400414,3.17115000002914,1191,952.991993,40,0.016,,
phoenix,1,jobarray,dryrun-plots/synthetic-monitor-tree/phoenix/rep1/jobarray,True,True,complete,False,0,0,1754312109.1400414,1754322047.236,1754322130.2360566,2.760582210752699,305,244.733337,35,0.014,,
phoenix,1,hyperqueue,dryrun-plots/synthetic-monitor-tree/phoenix/rep1/hyperqueue,True,True,complete,False,0,0,1754322735.2360566,1754330048.459,1754330131.459636,2.0314508176512187,75,60.784398,26,0.0104,,
phoenix,1,flux,dryrun-plots/synthetic-monitor-tree/phoenix/rep1/flux,True,True,complete,False,0,0,1754330736.459636,1754338987.001,1754339070.0012262,2.291817045542929,91,73.598845,29,0.0116,,
phoenix,1,local,dryrun-plots/synthetic-monitor-tree/phoenix/rep1/local,True,True,complete,False,0,0,1754339675.0012262,1754358256.609,1754358339.6093829,5.161557714939118,24,19.629555,63,0.0252,,
phoenix,2,native,dryrun-plots/synthetic-monitor-tree/phoenix/rep2/native,True,True,complete,False,0,0,1754404968.3301551,1754416370.152,1754416453.152198,3.1671727346711687,1012,810.155146,40,0.016,,
phoenix,2,jobarray,dryrun-plots/synthetic-monitor-tree/phoenix/rep2/jobarray,True,True,complete,False,0,0,1754358944.6093829,1754367911.191,1754367994.1911237,2.4907171158658135,282,226.176532,31,0.0124,,
phoenix,2,hyperqueue,dryrun-plots/synthetic-monitor-tree/phoenix/rep2/hyperqueue,True,True,complete,False,0,0,1754368599.1911237,1754376916.775,1754376999.7759116,2.3104399656587176,68,54.449881,29,0.0116,,
phoenix,2,flux,dryrun-plots/synthetic-monitor-tree/phoenix/rep2/flux,True,True,complete,False,0,0,1754377604.7759116,1754385863.659,1754385946.6593673,2.2941341912084154,95,76.109403,29,0.0116,,
phoenix,2,local,dryrun-plots/synthetic-monitor-tree/phoenix/rep2/local,True,True,complete,False,0,0,1754386551.6593673,1754404280.33,1754404363.3301551,4.924630731277996,23,19.03976,61,0.0244,,
phoenix,3,native,dryrun-plots/synthetic-monitor-tree/phoenix/rep3/native,True,True,complete,False,0,0,1754450791.56739,1754462637.278,1754462720.2789538,3.2904751694864696,1015,812.522653,41,0.0164,,
phoenix,3,jobarray,dryrun-plots/synthetic-monitor-tree/phoenix/rep3/jobarray,True,True,complete,False,0,0,1754463325.2789538,1754473244.477,1754473327.4770877,2.7553327906131746,291,233.256872,35,0.014,,
phoenix,3,hyperqueue,dryrun-plots/synthetic-monitor-tree/phoenix/rep3/hyperqueue,True,True,complete,False,0,0,1754417058.152198,1754424403.808,1754424486.8084369,2.0404599450031915,67,54.104202,26,0.0104,,
phoenix,3,flux,dryrun-plots/synthetic-monitor-tree/phoenix/rep3/flux,True,True,complete,False,0,0,1754425091.8084369,1754433052.052,1754433135.0529485,2.211178767548667,81,65.479049,28,0.0112,,
phoenix,3,local,dryrun-plots/synthetic-monitor-tree/phoenix/rep3/local,True,True,complete,False,0,0,1754433740.0529485,1754450103.567,1754450186.56739,4.545420569843716,26,21.115865,56,0.0224,,
