venue,replicate,backend,run_dir,walltime_h,benchmark_rpc_count,benchmark_rpc_processing_s,benchmark_rpc_count_per_1000_endpoint_tasks,benchmark_rpc_processing_s_per_1000_endpoint_tasks,observer_rpc_count,observer_rpc_processing_s,median_walltime_h,min_walltime_h,max_walltime_h,median_rpc_processing_s_per_1000_endpoint_tasks,min_rpc_processing_s_per_1000_endpoint_tasks,max_rpc_processing_s_per_1000_endpoint_tasks,nondominated_median
dev,1,native,dryrun-plots/synthetic-monitor-tree/dev/rep1/native,3.206873055564033,1216,973.077028,30400.0,24326.9257,40,0.016,3.246684336529838,3.206873055564033,3.295048823952675,23628.456975,22489.4404,24326.9257,False
dev,1,jobarray,dryrun-plots/synthetic-monitor-tree/dev/rep1/jobarray,2.4465349601374733,326,260.817346,8150.0,6520.43365,31,0.0124,2.548379074666235,2.4465349601374733,2.577827204929458,6520.43365,6005.218775,6528.07275,False
dev,1,hyperqueue,dryrun-plots/synthetic-monitor-tree/dev/rep1/hyperqueue,2.0826285509930718,74,59.409837,1850.0,1485.245925,26,0.0104,2.2388125852743785,2.0826285509930718,2.3700635729895696,1485.245925,1469.743175,1551.436075,True
dev,1,flux,dryrun-plots/synthetic-monitor-tree/dev/rep1/flux,2.319047812355889,93,74.954174,2325.0,1873.85435,29,0.0116,2.319047812355889,2.2181746990150875,2.537211045887735,1873.85435,1858.5702,1884.57575,False
dev,1,local,dryrun-plots/synthetic-monitor-tree/dev/rep1/local,4.9541683905654486,25,20.310104,625.0,507.7526,61,0.0244,4.848387477927738,4.673296579387453,4.9541683905654486,507.7526,481.54025,535.345025,True
dev,2,jobarray,dryrun-plots/synthetic-monitor-tree/dev/rep2/jobarray,2.577827204929458,326,261.12291,8150.0,6528.07275,32,0.0128,2.548379074666235,2.4465349601374733,2.577827204929458,6520.43365,6005.218775,6528.07275,False
dev,2,hyperqueue,dryrun-plots/synthetic-monitor-tree/dev/rep2/hyperqueue,2.2388125852743785,73,58.789727,1825.0,1469.743175,28,0.0112,2.2388125852743785,2.0826285509930718,2.3700635729895696,1485.245925,1469.743175,1551.436075,True
dev,2,flux,dryrun-plots/synthetic-monitor-tree/dev/rep2/flux,2.2181746990150875,94,75.38303,2350.0,1884.57575,28,0.0112,2.319047812355889,2.2181746990150875,2.537211045887735,1873.85435,1858.5702,1884.57575,False
dev,2,local,dryrun-plots/synthetic-monitor-tree/dev/rep2/local,4.673296579387453,24,19.26161,600.0,481.54025,58,0.0232,4.848387477927738,4.673296579387453,4.9541683905654486,507.7526,481.54025,535.345025,True
dev,2,native,dryrun-plots/synthetic-monitor-tree/dev/rep2/native,3.295048823952675,1124,899.577616,28100.0,22489.4404,41,0.0164,3.246684336529838,3.206873055564033,3.295048823952675,23628.456975,22489.4404,24326.9257,False
dev,3,hyperqueue,dryrun-plots/synthetic-monitor-tree/dev/rep3/hyperqueue,2.3700635729895696,77,62.057443,1925.0,1551.436075,30,0.012,2.2388125852743785,2.0826285509930718,2.3700635729895696,1485.245925,1469.743175,1551.436075,True
dev,3,flux,dryrun-plots/synthetic-monitor-tree/dev/rep3/flux,2.537211045887735,92,74.342808,2300.0,1858.5702,32,0.0128,2.319047812355889,2.2181746990150875,2.537211045887735,1873.85435,1858.5702,1884.57575,False
dev,3,local,dryrun-plots/synthetic-monitor-tree/dev/rep3/local,4.848387477927738,26,21.413801,650.0,535.345025,60,0.024,4.848387477927738,4.673296579387453,4.9541683905654486,507.7526,481.54025,535.345025,True
dev,3,native,dryrun-plots/synthetic-monitor-tree/dev/rep3/native,3.246684336529838,1181,945.138279,29525.0,23628.456975,40,0.016,3.246684336529838,3.206873055564033,3.295048823952675,23628.456975,22489.4404,24326.9257,False
dev,3,jobarray,dryrun-plots/synthetic-monitor-tree/dev/rep3/jobarray,2.548379074666235,300,240.208751,7500.0,6005.218775,32,0.0128,2.548379074666235,2.4465349601374733,2.577827204929458,6520.43365,6005.218775,6528.07275,False
phoenix,1,native,dryrun-plots/synthetic-monitor-tree/phoenix/rep1/native,3.17115000002914,1191,952.991993,29775.0,23824.799825000002,40,0.016,3.17115000002914,3.1671727346711687,3.2904751694864696,20313.066325,20253.87865,23824.799825000002,False
phoenix,1,jobarray,dryrun-plots/synthetic-monitor-tree/phoenix/rep1/jobarray,2.760582210752699,305,244.733337,7625.0,6118.333425,35,0.014,2.7553327906131746,2.4907171158658135,2.760582210752699,5831.421799999999,5654.4133,6118.333425,False
phoenix,1,hyperqueue,dryrun-plots/synthetic-monitor-tree/phoenix/rep1/hyperqueue,2.0314508176512187,75,60.784398,1875.0,1519.60995,26,0.0104,2.0404599450031915,2.0314508176512187,2.3104399656587176,1361.2470250000001,1352.60505,1519.60995,True
phoenix,1,flux,dryrun-plots/synthetic-monitor-tree/phoenix/rep1/flux,2.291817045542929,91,73.598845,2275.0,1839.971125,29,0.0116,2.291817045542929,2.211178767548667,2.2941341912084154,1839.971125,1636.976225,1902.735075,False
phoenix,1,local,dryrun-plots/synthetic-monitor-tree/phoenix/rep1/local,5.161557714939118,24,19.629555,600.0,490.738875,63,0.0252,4.924630731277996,4.545420569843716,5.161557714939118,490.738875,475.994,527.896625,True
phoenix,2,jobarray,dryrun-plots/synthetic-monitor-tree/phoenix/rep2/jobarray,2.4907171158658135,282,226.176532,7050.0,5654.4133,31,0.0124,2.7553327906131746,2.4907171158658135,2.760582210752699,5831.421799999999,5654.4133,6118.333425,False
phoenix,2,hyperqueue,dryrun-plots/synthetic-monitor-tree/phoenix/rep2/hyperqueue,2.3104399656587176,68,54.449881,1700.0,1361.2470250000001,29,0.0116,2.0404599450031915,2.0314508176512187,2.3104399656587176,1361.2470250000001,1352.60505,1519.60995,True
phoenix,2,flux,dryrun-plots/synthetic-monitor-tree/phoenix/rep2/flux,2.2941341912084154,95,76.109403,2375.0,1902.735075,29,0.0116,2.291817045542929,2.211178767548667,2.2941341912084154,1839.971125,1636.976225,1902.735075,False
phoenix,2,local,dryrun-plots/synthetic-monitor-tree/phoenix/rep2/local,4.924630731277996,23,19.03976,575.0,475.994,61,0.0244,4.924630731277996,4.545420569843716,5.161557714939118,490.738875,475.994,527.896625,True
phoenix,2,native,dryrun-plots/synthetic-monitor-tree/phoenix/rep2/native,3.1671727346711687,1012,810.155146,25300.0,20253.87865,40,0.016,3.17115000002914,3.1671727346711687,3.2904751694864696,20313.066325,20253.87865,23824.799825000002,False
phoenix,3,hyperqueue,dryrun-plots/synthetic-monitor-tree/phoenix/rep3/hyperqueue,2.0404599450031915,67,54.104202,1675.0,1352.60505,26,0.0104,2.0404599450031915,2.0314508176512187,2.3104399656587176,1361.2470250000001,1352.60505,1519.60995,True
phoenix,3,flux,dryrun-plots/synthetic-monitor-tree/phoenix/rep3/flux,2.211178767548667,81,65.479049,2025.0,1636.976225,28,0.0112,2.291817045542929,2.211178767548667,2.2941341912084154,1839.971125,1636.976225,1902.735075,False
phoenix,3,local,dryrun-plots/synthetic-monitor-tree/phoenix/rep3/local,4.545420569843716,26,21.115865,650.0,527.896625,56,0.0224,4.924630731277996,4.545420569843716,5.161557714939118,490.738875,475.994,527.896625,True
phoenix,3,native,dryrun-plots/synthetic-monitor-tree/phoenix/rep3/native,3.2904751694864696,1015,812.522653,25375.0,20313.066325,41,0.0164,3.17115000002914,3.1671727346711687,3.2904751694864696,20313.066325,20253.87865,23824.799825000002,False
phoenix,3,jobarray,dryrun-plots/synthetic-monitor-tree/phoenix/rep3/jobarray,2.7553327906131746,291,233.256872,7275.0,5831.421799999999,35,0.014,2.7553327906131746,2.4907171158658135,2.760582210752699,5831.421799999999,5654.4133,6118.333425,False
