venue,replicate,backend,baseline_backend,ordinary_censored_substitution,walltime_h_ratio_to_native,first_task_start_delay_h_ratio_to_native,first_task_to_endpoint_s_ratio_to_native,allocation_wait_s_ratio_to_native,main_job_runtime_s_ratio_to_native,benchmark_rpc_count_ratio_to_native,benchmark_rpc_processing_s_ratio_to_native,benchmark_rpc_count_per_1000_endpoint_tasks_ratio_to_native,benchmark_rpc_processing_s_per_1000_endpoint_tasks_ratio_to_native,observer_rpc_count_ratio_to_native,observer_rpc_processing_s_ratio_to_native,rpc_boundary_lag_s_ratio_to_native,walltime_h_ratio_to_native_median,walltime_h_ratio_to_native_min,walltime_h_ratio_to_native_max,first_task_start_delay_h_ratio_to_native_median,first_task_start_delay_h_ratio_to_native_min,first_task_start_delay_h_ratio_to_native_max,first_task_to_endpoint_s_ratio_to_native_median,first_task_to_endpoint_s_ratio_to_native_min,first_task_to_endpoint_s_ratio_to_native_max,allocation_wait_s_ratio_to_native_median,allocation_wait_s_ratio_to_native_min,allocation_wait_s_ratio_to_native_max,main_job_runtime_s_ratio_to_native_median,main_job_runtime_s_ratio_to_native_min,main_job_runtime_s_ratio_to_native_max,benchmark_rpc_count_ratio_to_native_median,benchmark_rpc_count_ratio_to_native_min,benchmark_rpc_count_ratio_to_native_max,benchmark_rpc_processing_s_ratio_to_native_median,benchmark_rpc_processing_s_ratio_to_native_min,benchmark_rpc_processing_s_ratio_to_native_max,benchmark_rpc_count_per_1000_endpoint_tasks_ratio_to_native_median,benchmark_rpc_count_per_1000_endpoint_tasks_ratio_to_native_min,benchmark_rpc_count_per_1000_endpoint_tasks_ratio_to_native_max,benchmark_rpc_processing_s_per_1000_endpoint_tasks_ratio_to_native_median,benchmark_rpc_processing_s_per_1000_endpoint_tasks_ratio_to_native_min,benchmark_rpc_processing_s_per_1000_endpoint_tasks_ratio_to_native_max,observer_rpc_count_ratio_to_native_median,observer_rpc_count_ratio_to_native_min,observer_rpc_count_ratio_to_native_max,observer_rpc_processing_s_ratio_to_native_median,observer_rpc_processing_s_ratio_to_native_min,observer_rpc_processing_s_ratio_to_native_max,rpc_boundary_lag_s_ratio_to_native_median,rpc_boundary_lag_s_ratio_to_native_min,rpc_boundary_lag_s_ratio_to_native_max
phoenix,1,native,native,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
phoenix,2,native,native,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
phoenix,3,native,native,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
phoenix,1,jobarray,native,False,0.3121452535856195,0.30272658509600736,0.9998602688939526,1.039150409197951,0.3147645950473248,0.07549746390948107,0.0628717889683551,0.07549746390948107,0.0628717889683551,0.7688331092185866,0.8334880078681389,1.5679932646592334,0.40177420996736746,0.3121452535856195,0.4684382176096041,0.3935793908397966,0.30272658509600736,0.46123917794283487,0.9998602688939526,0.9998402273642457,1.0025013507269116,0.9153543837836797,0.8276240024381101,1.039150409197951,0.4041976916767714,0.3147645950473248,0.4704497065402525,0.08608882801800039,0.07549746390948107,0.10657019945248337,0.08281427469332364,0.0628717889683551,0.10584160768870356,0.0860888280180004,0.07549746390948107,0.10657019945248337,0.08281427469332364,0.0628717889683551,0.10584160768870354,0.8419111031131906,0.7688331092185866,1.1717436974789917,0.9404314621592474,0.8334880078681389,1.3372980615336145,1.5679932646592334,1.2732187198278533,1.9416168126259281
phoenix,2,jobarray,native,False,0.40177420996736746,0.3935793908397966,0.9998402273642457,0.9153543837836797,0.4041976916767714,0.08608882801800039,0.08281427469332364,0.0860888280180004,0.08281427469332364,0.8419111031131906,0.9404314621592474,1.9416168126259281,0.40177420996736746,0.3121452535856195,0.4684382176096041,0.3935793908397966,0.30272658509600736,0.46123917794283487,0.9998602688939526,0.9998402273642457,1.0025013507269116,0.9153543837836797,0.8276240024381101,1.039150409197951,0.4041976916767714,0.3147645950473248,0.4704497065402525,0.08608882801800039,0.07549746390948107,0.10657019945248337,0.08281427469332364,0.0628717889683551,0.10584160768870356,0.0860888280180004,0.07549746390948107,0.10657019945248337,0.08281427469332364,0.0628717889683551,0.10584160768870354,0.8419111031131906,0.7688331092185866,1.1717436974789917,0.9404314621592474,0.8334880078681389,1.3372980615336145,1.5679932646592334,1.2732187198278533,1.9416168126259281
phoenix,3,jobarray,native,False,0.4684382176096041,0.46123917794283487,1.0025013507269116,0.8276240024381101,0.4704497065402525,0.10657019945248337,0.10584160768870356,0.10657019945248337,0.10584160768870354,1.1717436974789917,1.3372980615336145,1.2732187198278533,0.40177420996736746,0.3121452535856195,0.4684382176096041,0.3935793908397966,0.30272658509600736,0.46123917794283487,0.9998602688939526,0.9998402273642457,1.0025013507269116,0.9153543837836797,0.8276240024381101,1.039150409197951,0.4041976916767714,0.3147645950473248,0.4704497065402525,0.08608882801800039,0.07549746390948107,0.10657019945248337,0.08281427469332364,0.0628717889683551,0.10584160768870356,0.0860888280180004,0.07549746390948107,0.10657019945248337,0.08281427469332364,0.0628717889683551,0.10584160768870354,0.8419111031131906,0.7688331092185866,1.1717436974789917,0.9404314621592474,0.8334880078681389,1.3372980615336145,1.5679932646592334,1.2732187198278533,1.9416168126259281
phoenix,1,hyperqueue,native,False,0.311251098973948,0.3141283433719928,0.10116575862784967,1.2375032657718417,0.3132110469776131,0.08095981271946937,0.055961357327059494,0.08095981271946938,0.0559613573270595,0.1452861198266846,0.04281624523985891,1.5356518545253994,0.311251098973948,0.31115658168469573,0.9327475850555306,0.31516917386745874,0.3141283433719928,0.9439267729263149,0.10116575862784967,0.01831362947004481,0.10341584410992657,1.2375032657718417,0.7957169659296576,8.464556745970741,0.31353068990313426,0.3132110469776131,0.9259897880000062,0.08095981271946937,0.0389127884239343,0.081980043044414,0.055961357327059494,0.04139640158275064,0.06616247419228442,0.08095981271946938,0.038912788423934294,0.081980043044414,0.0559613573270595,0.04139640158275063,0.06616247419228442,0.14705176654069943,0.1452861198266846,0.8890639589169,0.04281624523985891,0.03235611696114128,0.33667205623145563,1.4788106047641305,1.2897562470568702,1.5356518545253994
phoenix,2,hyperqueue,native,False,0.31115658168469573,0.31516917386745874,0.01831362947004481,0.7957169659296576,0.31353068990313426,0.081980043044414,0.06616247419228442,0.081980043044414,0.06616247419228442,0.14705176654069943,0.03235611696114128,1.4788106047641305,0.311251098973948,0.31115658168469573,0.9327475850555306,0.31516917386745874,0.3141283433719928,0.9439267729263149,0.10116575862784967,0.01831362947004481,0.10341584410992657,1.2375032657718417,0.7957169659296576,8.464556745970741,0.31353068990313426,0.3132110469776131,0.9259897880000062,0.08095981271946937,0.0389127884239343,0.081980043044414,0.055961357327059494,0.04139640158275064,0.06616247419228442,0.08095981271946938,0.038912788423934294,0.081980043044414,0.0559613573270595,0.04139640158275063,0.06616247419228442,0.14705176654069943,0.1452861198266846,0.8890639589169,0.04281624523985891,0.03235611696114128,0.33667205623145563,1.4788106047641305,1.2897562470568702,1.5356518545253994
phoenix,3,hyperqueue,native,False,0.9327475850555306,0.9439267729263149,0.10341584410992657,8.464556745970741,0.9259897880000062,0.0389127884239343,0.04139640158275064,0.038912788423934294,0.04139640158275063,0.8890639589169,0.33667205623145563,1.2897562470568702,0.311251098973948,0.31115658168469573,0.9327475850555306,0.31516917386745874,0.3141283433719928,0.9439267729263149,0.10116575862784967,0.01831362947004481,0.10341584410992657,1.2375032657718417,0.7957169659296576,8.464556745970741,0.31353068990313426,0.3132110469776131,0.9259897880000062,0.08095981271946937,0.0389127884239343,0.081980043044414,0.055961357327059494,0.04139640158275064,0.06616247419228442,0.08095981271946938,0.038912788423934294,0.081980043044414,0.0559613573270595,0.04139640158275063,0.06616247419228442,0.14705176654069943,0.1452861198266846,0.8890639589169,0.04281624523985891,0.03235611696114128,0.33667205623145563,1.4788106047641305,1.2897562470568702,1.5356518545253994
phoenix,1,flux,native,False,0.6281063845584673,0.6271363026918995,0.6989380383588824,1.0137156239330039,0.6285468231575769,0.02477565353101834,0.0029261313249160197,0.02477565353101834,0.0029261313249160197,0.27025250261467204,0.04686975481283449,0.9569303864171096,0.6281063845584673,0.6234955626886042,0.6560367377627527,0.6271363026918995,0.6210887213625779,0.6540833087448501,0.7991492267847218,0.6989380383588824,0.8009525140209333,1.0137156239330039,0.8438875061974782,14.41178907882362,0.6285468231575769,0.6237149970954593,0.6459571513957282,0.02477565353101834,0.024457053414204656,0.025615956198670315,0.013134290091303923,0.0029261313249160197,0.01545699409379807,0.02477565353101834,0.024457053414204656,0.025615956198670315,0.013134290091303923,0.0029261313249160197,0.01545699409379807,0.2914042348989263,0.27025250261467204,0.30844421101774044,0.04686975481283449,0.037805811719107275,0.09620125884658769,1.167647885179638,0.9569303864171096,1.534495770041085
